fileName;pathToFile;logging;exceptionExhaustive;exceptionBaseHeuristic;exceptionIncrementalHeuristic;exceptionAdvancedHeuristic;totalAmountSolutionsExhaustive;totalAmountSolutionsBaseHeuristic;totalAmountSolutionsIncrementalHeuristic;totalAmountSolutionsAdvancedHeuristic;amountCheapestSolutionsExhaustive;amountCheapestSolutionsBaseHeuristic;amountSolutionsIncrementalHeuristic;amountCheapestSolutionsAdvancedHeuristic;costCheapestSolutionExhaustive;costCheapestSolutionBaseHeuristic;costCheapestSolutionIncrementalHeuristic;costCheapestSolutionAdvancedHeuristic;exhaustiveCombsGenInSec;exhaustiveCalcMeasureInSec;exhaustiveExecutionTimeInSec;baseHeuristicCombsGenInSec;baseHeuristicCalcMeasureInSec;baseHeuristicExecutionTimeInSec;incrementalHeuristicCombsGenInSec;incrementalHeuristicCalcMeasureInSec;incrementalHeuristicExecutionTimeInSec;advancedHeuristicCombsGenInSec;advancedHeuristicCalcMeasureInSec;advancedHeuristicExecutionTimeInSec;amountReaders;amountWriters;amountDataObjects;averageAmountDataObjectsPerDecision;amountReadersPerDataObject;amountWritersPerDataObject;amountExclusiveGateways;amountParallelGateways;amountTasks;amountElements;amountSumAddActors;averageAmountAddActors;privateSphereSize;averageSphereSum;pathsThroughProcess;amountMandConst;amountExclConst
randomProcessModel896_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel896_annotated1.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;29.5;29.5;29.5;29.5;2.46E-04;3.04E-04;5.50E-04;9.33E-04;2.75E-04;0.001207678;4.71E-04;2.13E-04;6.84E-04;5.66E-04;2.14E-04;7.80E-04;5;19;5;1.25;1;3.8;4;1;36;46;16;4;8;2.2;7;4;6
randomProcessModel546_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel546_annotated1.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;0;0;0;0;3.27E-04;3.26E-04;6.52E-04;7.70E-04;2.65E-04;0.001034604;7.84E-04;2.58E-04;0.001041803;0.001763538;2.66E-04;0.002029356;26;8;8;8;3.25;1;3;1;46;54;3;1;2;1.625;6;0;0
randomProcessModel182_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel182_annotated1.bpmn;null;null;null;null;null;20;1;1;1;1;1;1;1;9;9;9;9;4.16E-04;0.001218121;0.001633756;4.16E-04;2.04E-04;6.20E-04;3.86E-04;1.61E-04;5.47E-04;0.001662808;2.06E-04;0.001869154;10;5;5;3.333333333;2;1;3;1;36;44;6;2;6;1.6;6;2;0
randomProcessModel103_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel103_annotated1.bpmn;null;null;null;null;null;10;1;1;1;6;1;1;1;29.5;29.5;29.5;29.5;9.69E-05;8.73E-04;9.70E-04;5.56E-04;2.54E-04;8.11E-04;5.01E-04;1.92E-04;6.93E-04;3.84E-04;1.45E-04;5.29E-04;6;6;6;2;1;1;3;1;24;32;10;3.333333333;6;2.333333333;4;0;3
randomProcessModel224_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel224_annotated1.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;12;12;12;12;1.20E-04;1.41E-04;2.61E-04;2.92E-04;1.22E-04;4.13E-04;2.67E-04;1.03E-04;3.70E-04;2.75E-04;9.85E-05;3.73E-04;6;12;6;3;1;2;2;0;22;28;3;1.5;3;1.333333333;4;0;1
randomProcessModel25_annotated259.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel25_annotated259.bpmn;null;null;null;null;null;5;1;1;1;1;1;1;1;4;4;4;4;3.15E-04;0.002238047;0.002553303;4.01E-04;4.10E-04;8.11E-04;5.01E-04;4.72E-04;9.73E-04;3.05E-04;2.41E-04;5.46E-04;44;7;2;2;22;3.5;1;0;75;79;4;4;6;3;2;0;0
randomProcessModel435_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel435_annotated1.bpmn;null;null;null;null;null;35;1;1;1;5;1;1;1;19;19;19;19;2.00E-04;0.001825905;0.002025709;2.80E-04;1.32E-04;4.12E-04;2.21E-04;9.98E-05;3.21E-04;2.59E-04;1.01E-04;3.61E-04;6;17;6;6;1;2.833333333;1;0;58;62;4;4;9;1.166666667;2;1;0
randomProcessModel314_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel314_annotated1.bpmn;null;null;null;null;null;21;1;1;1;6;1;1;1;17;20.5;17;17;1.39E-04;0.001272604;0.001411827;2.46E-04;1.17E-04;3.64E-04;2.11E-04;1.26E-04;3.37E-04;3.19E-04;1.31E-04;4.49E-04;8;3;3;3;2.666666667;1;2;0;28;34;6;3;8;1.666666667;3;0;6
randomProcessModel689_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel689_annotated1.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;4;4;4;4;1.60E-04;1.69E-04;3.29E-04;3.61E-04;6.16E-05;4.22E-04;3.44E-04;5.77E-05;4.02E-04;6.07E-04;9.85E-05;7.05E-04;7;7;7;1.75;1;1;4;2;25;35;4;1;2;1.285714286;5;0;0
randomProcessModel766_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel766_annotated1.bpmn;null;null;null;null;null;6;1;1;1;6;1;1;1;7;7;7;7;3.02E-04;0.001345207;0.001647341;7.76E-04;4.21E-04;0.001197054;6.94E-04;4.33E-04;0.001126539;0.002245373;4.72E-04;0.002717261;13;5;5;3.25;2.6;1;4;1;47;57;7;1.75;4;1.4;8;1;3
randomProcessModel627_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel627_annotated1.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;0;0;0;0;4.63E-04;8.22E-04;0.001284503;0.001087822;6.84E-04;0.001771802;0.001048842;6.85E-04;0.001734254;0.00192474;8.23E-04;0.00274803;40;7;5;5;8;1.4;2;2;69;75;2;1;2;2;4;0;0
